"","X","age","fnlwgt","education.num","hours.per.week","workclass","marital.status","occupation","race","sex","native.country","income","net.capital.gain"
"1",1,82,132870,9,18,"Private","other","Exec.managerial","White","Female","US","Less_or_equal_50K",-4356
"2",2,54,140359,4,40,"Private","other","Machine.op.inspct","White","Female","US","Less_or_equal_50K",-3900
"3",3,41,264663,10,40,"Private","other","Prof.specialty","White","Female","US","Less_or_equal_50K",-3900
"4",4,34,216864,9,45,"Private","other","Other.service","White","Female","US","Less_or_equal_50K",-3770
"5",5,38,150601,6,40,"Private","other","Adm.clerical","White","Male","US","Less_or_equal_50K",-3770
"6",6,74,88638,16,20,"State.gov","not-married","Prof.specialty","White","Female","US","More_than_50K",-3683
"7",7,68,422013,9,40,"Federal.gov","other","Prof.specialty","White","Female","US","Less_or_equal_50K",-3683
"8",8,45,172274,16,35,"Private","other","Prof.specialty","Black","Female","US","More_than_50K",-3004
"9",9,38,164526,15,45,"Self.emp.not.inc","not-married","Prof.specialty","White","Male","US","More_than_50K",-2824
"10",10,52,129177,13,20,"Private","other","Other.service","White","Female","US","More_than_50K",-2824
"11",11,32,136204,14,55,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2824
"12",12,46,45363,15,40,"Private","other","Prof.specialty","White","Male","US","More_than_50K",-2824
"13",13,45,172822,7,76,"Private","other","Transport.moving","White","Male","US","More_than_50K",-2824
"14",14,57,317847,14,50,"Private","other","Exec.managerial","White","Male","US","More_than_50K",-2824
"15",15,34,203034,13,50,"Private","other","Sales","White","Male","US","More_than_50K",-2824
"16",16,37,188774,13,40,"Private","not-married","Exec.managerial","White","Male","US","More_than_50K",-2824
"17",17,29,77009,7,42,"Private","other","Sales","White","Female","US","Less_or_equal_50K",-2754
"18",18,61,29059,9,25,"Private","other","Sales","White","Female","US","Less_or_equal_50K",-2754
"19",19,51,153870,10,40,"Private","married","Transport.moving","White","Male","US","Less_or_equal_50K",-2603
"20",20,21,34310,11,40,"Private","married","Craft.repair","White","Male","US","Less_or_equal_50K",-2603
